,method,iter,train_test,n,p,mse,r2
210,"MLP W1, D1",0,train,75000.0,6,1.366289348648632,0.8250569740343272
211,"MLP W1, D1",0,test,75000.0,6,1.3909975771577476,0.8200222357295861
212,"MLP W2, D1",0,train,75000.0,6,1.299876819023474,0.8335605965694451
213,"MLP W2, D1",0,test,75000.0,6,1.3216575556014116,0.8289939710216572
214,"MLP W4, D1",0,train,75000.0,6,1.2893981382763766,0.8349023124511056
215,"MLP W4, D1",0,test,75000.0,6,1.3232868124192974,0.8287831654786997
216,ConstantImputedLR,0,train,750.0,8,5.494709635753683,0.8672893751100682
217,ConstantImputedLR,0,test,750.0,8,7.930989723450803,0.8232073408567474
218,ExpandedLR,0,train,750.0,8,0.8135034189330712,0.9803519104314062
219,ExpandedLR,0,test,750.0,8,45.94465721730448,-0.024169543285990525
220,EMLR,0,train,750.0,8,8.649446789686559,0.7910947867122247
221,EMLR,0,test,750.0,8,13.14589917993363,0.7069598431104325
222,MICELR,0,train,750.0,8,8.351788496611944,0.7982839596979204
223,MICELR,0,test,750.0,8,12.423177103577473,0.7230703113061905
224,"MLP W0.3, D1",0,train,750.0,8,4.8668685835358145,0.8824532661788921
225,"MLP W0.3, D1",0,test,750.0,8,7.876854555642656,0.8244140881359261
226,"MLP W0.5, D1",0,train,750.0,8,4.1904206985556245,0.8987911306835157
227,"MLP W0.5, D1",0,test,750.0,8,7.5348678765899395,0.832037441146021
228,"MLP W1, D1",0,train,750.0,8,3.18514525196801,0.9230709819490045
229,"MLP W1, D1",0,test,750.0,8,6.937408564914062,0.845355630189786
230,"MLP W2, D1",0,train,750.0,8,2.605497075067707,0.937070897662876
231,"MLP W2, D1",0,test,750.0,8,6.687665186908699,0.8509227532652872
232,"MLP W4, D1",0,train,750.0,8,1.806152215492122,0.9563770235273922
233,"MLP W4, D1",0,test,750.0,8,6.913807944711217,0.8458817204444176
234,ConstantImputedLR,0,train,3750.0,8,5.90110301060974,0.8592579133119973
235,ConstantImputedLR,0,test,3750.0,8,5.242408351518386,0.8794042701888506
236,ExpandedLR,0,train,3750.0,8,3.6956370673334598,0.9118585675317167
237,ExpandedLR,0,test,3750.0,8,9.505635315024369,0.7813335109993904
238,EMLR,0,train,3750.0,8,9.777334242592602,0.7668092861496483
239,EMLR,0,test,3750.0,8,8.898870969886394,0.7952914448570428
240,MICELR,0,train,3750.0,8,9.234650755796725,0.7797523590303369
241,MICELR,0,test,3750.0,8,8.475476000011886,0.8050311717090339
242,"MLP W0.3, D1",0,train,3750.0,8,5.35225198932669,0.8723480827053014
243,"MLP W0.3, D1",0,test,3750.0,8,4.735633373018779,0.8910620607088295
244,"MLP W0.5, D1",0,train,3750.0,8,4.335826708981943,0.8965899599714595
245,"MLP W0.5, D1",0,test,3750.0,8,4.010667119089293,0.9077390970285507
246,"MLP W1, D1",0,train,3750.0,8,3.9151163526476016,0.9066239575707711
247,"MLP W1, D1",0,test,3750.0,8,3.7221657226853915,0.9143757483761679
248,"MLP W2, D1",0,train,3750.0,8,3.5100632391482156,0.9162845278592205
249,"MLP W2, D1",0,test,3750.0,8,3.5148280247649453,0.9191453197871469
250,"MLP W4, D1",0,train,3750.0,8,3.2179866349619175,0.9232505934696695
251,"MLP W4, D1",0,test,3750.0,8,3.4992315021168774,0.9195041003141761
252,ConstantImputedLR,0,train,7500.0,8,5.675714386149061,0.8640284118608592
253,ConstantImputedLR,0,test,7500.0,8,5.749289944209065,0.8629814450298708
254,ExpandedLR,0,train,7500.0,8,3.250856997473476,0.922120078868236
255,ExpandedLR,0,test,7500.0,8,5.717584906411987,0.8637370476358248
256,EMLR,0,train,7500.0,8,9.677356228509808,0.7681621368069794
257,EMLR,0,test,7500.0,8,9.412188336787958,0.775686309522035
