,method,iter,train_test,n,p,mse,r2
270,ConstantImputedLR,0,train,18750.0,8,6.57547189551901,0.5741753029225316
271,ConstantImputedLR,0,test,18750.0,8,6.793361169645167,0.5614721891316096
272,ExpandedLR,0,train,18750.0,8,4.617072469829121,0.7010003970681529
273,ExpandedLR,0,test,18750.0,8,5.363352089254458,0.6537827164075225
274,EMLR,0,train,18750.0,8,4.9090133360646195,0.6820944336780603
275,EMLR,0,test,18750.0,8,4.99933434455887,0.6772809377904646
276,MICELR,0,train,18750.0,8,6.255188936587041,0.594916687895863
277,MICELR,0,test,18750.0,8,6.304424085839056,0.5930342544567876
278,"MLP W0.3, D1",0,train,18750.0,8,6.341713681819115,0.589313383066401
279,"MLP W0.3, D1",0,test,18750.0,8,6.564681447972683,0.5762340154545085
280,"MLP W0.5, D1",0,train,18750.0,8,5.779025142389236,0.6257528478924885
281,"MLP W0.5, D1",0,test,18750.0,8,5.940904113968583,0.616500343406041
282,"MLP W1, D1",0,train,18750.0,8,5.294960879175935,0.6571006388227943
283,"MLP W1, D1",0,test,18750.0,8,5.519499714228264,0.6437030114658759
284,"MLP W2, D1",0,train,18750.0,8,5.095477557844198,0.6700190918597515
285,"MLP W2, D1",0,test,18750.0,8,5.388917448903243,0.6521324109223763
286,"MLP W4, D1",0,train,18750.0,8,4.873558739988267,0.6843904578834874
287,"MLP W4, D1",0,test,18750.0,8,5.294453466333956,0.6582302883128968
288,ConstantImputedLR,0,train,37500.0,8,6.716421284331697,0.5696633594716153
289,ConstantImputedLR,0,test,37500.0,8,6.823674947618944,0.5594347557552012
290,ExpandedLR,0,train,37500.0,8,4.845036195198424,0.6895673289071265
291,ExpandedLR,0,test,37500.0,8,5.152332244616896,0.6673436921886104
292,EMLR,0,train,37500.0,8,4.986466216404873,0.6805055804522129
293,EMLR,0,test,37500.0,8,5.025471092172913,0.675534383427671
294,MICELR,0,train,37500.0,8,5.877524907517862,0.6234133899218599
295,MICELR,0,test,37500.0,8,5.966983477633383,0.6147463715068167
296,"MLP W0.3, D1",0,train,37500.0,8,6.316778076892774,0.5952694237756009
297,"MLP W0.3, D1",0,test,37500.0,8,6.461851912456225,0.5827955774654265
298,"MLP W0.5, D1",0,train,37500.0,8,5.716972120175484,0.6337003782162909
299,"MLP W0.5, D1",0,test,37500.0,8,5.838053692626869,0.6230706223918394
300,"MLP W1, D1",0,train,37500.0,8,5.373693268262616,0.6556950479433439
301,"MLP W1, D1",0,test,37500.0,8,5.494876432249954,0.6452275942138888
302,"MLP W2, D1",0,train,37500.0,8,5.168380032371227,0.6688499416656342
303,"MLP W2, D1",0,test,37500.0,8,5.308541287266039,0.6572581773368251
304,"MLP W4, D1",0,train,37500.0,8,5.023629498874612,0.678124443020238
305,"MLP W4, D1",0,test,37500.0,8,5.229764278712357,0.6623443533755062
306,ConstantImputedLR,0,train,75000.0,8,6.753732656869767,0.5661253870064042
307,ConstantImputedLR,0,test,75000.0,8,6.736751776618017,0.5717143042850503
308,ExpandedLR,0,train,75000.0,8,4.949478591276333,0.6820346292319168
309,ExpandedLR,0,test,75000.0,8,5.11430462491437,0.6748605875635734
310,EMLR,0,train,75000.0,8,5.023940446594889,0.6772510361730086
311,EMLR,0,test,75000.0,8,5.041468682184065,0.6794910969603383
312,MICELR,0,train,75000.0,8,5.538413777426199,0.6442001399278177
313,MICELR,0,test,75000.0,8,5.591023276189572,0.6445534327222247
314,"MLP W0.3, D1",0,train,75000.0,8,6.366365510009421,0.5910107029449185
315,"MLP W0.3, D1",0,test,75000.0,8,6.3904303263953635,0.5937315209152407
316,"MLP W0.5, D1",0,train,75000.0,8,6.015579750831038,0.6135459502281189
317,"MLP W0.5, D1",0,test,75000.0,8,6.038179577642514,0.6161256897963545
318,"MLP W1, D1",0,train,75000.0,8,5.367560047103262,0.6551761586553244
319,"MLP W1, D1",0,test,75000.0,8,5.441174415158044,0.6540800006925233
320,"MLP W2, D1",0,train,75000.0,8,5.21145323467481,0.6652048030019679
321,"MLP W2, D1",0,test,75000.0,8,5.32355396166529,0.6615576634333852
322,"MLP W4, D1",0,train,75000.0,8,5.053576068410576,0.6753471787656493
323,"MLP W4, D1",0,test,75000.0,8,5.205013976633944,0.6690937849415872
324,ConstantImputedLR,0,train,750.0,10,20.46127691323106,0.6485484127659217
325,ConstantImputedLR,0,test,750.0,10,22.234921830710515,0.6047466950206986
326,ExpandedLR,0,train,750.0,10,5.9752272372609445,0.897366957813776
327,ExpandedLR,0,test,750.0,10,1536.3436239720704,-26.310412853357604
328,EMLR,0,train,750.0,10,14.69375878780229,0.7476137549818084
329,EMLR,0,test,750.0,10,14.478026821233817,0.7426351217134558
330,MICELR,0,train,750.0,10,16.145046433543538,0.7226858216572196
331,MICELR,0,test,750.0,10,14.665195097113466,0.7393079735367292
332,"MLP W0.3, D1",0,train,750.0,10,24.530923485597235,0.5786464338520376
333,"MLP W0.3, D1",0,test,750.0,10,31.16264412711052,0.44604536157523067
334,"MLP W0.5, D1",0,train,750.0,10,16.230845786826638,0.7212120955049919
335,"MLP W0.5, D1",0,test,750.0,10,23.243700215820596,0.5868144084247666
336,"MLP W1, D1",0,train,750.0,10,13.553735600574083,0.7671952776958635
337,"MLP W1, D1",0,test,750.0,10,21.308296160603277,0.6212186152449777
338,"MLP W2, D1",0,train,750.0,10,9.769924876839463,0.8321876186083674
339,"MLP W2, D1",0,test,750.0,10,22.76661541358149,0.5952951823297126
340,"MLP W4, D1",0,train,750.0,10,6.375466665326268,0.8904922753165043
341,"MLP W4, D1",0,test,750.0,10,24.49779206950177,0.5645213707568549
342,ConstantImputedLR,0,train,3750.0,10,20.778576260754548,0.6366253824886821
343,ConstantImputedLR,0,test,3750.0,10,22.274528842823045,0.6120317391342133
344,ExpandedLR,0,train,3750.0,10,5.788768253921869,0.8987663339521736
345,ExpandedLR,0,test,3750.0,10,62.07278934587897,-0.08115741973902257
346,EMLR,0,train,3750.0,10,15.058448077834187,0.7366586746883141
347,EMLR,0,test,3750.0,10,15.766815661819571,0.7253803169139301
348,MICELR,0,train,3750.0,10,16.823506804833734,0.7057914231615637
349,MICELR,0,test,3750.0,10,17.47263987445303,0.6956689969669141
350,"MLP W0.3, D1",0,train,3750.0,10,19.490856644175086,0.6591449534768143
351,"MLP W0.3, D1",0,test,3750.0,10,21.431109116498916,0.6267220648740235
352,"MLP W0.5, D1",0,train,3750.0,10,18.438895796048744,0.677541587876967
353,"MLP W0.5, D1",0,test,3750.0,10,21.820046533915097,0.61994771851252
354,"MLP W1, D1",0,train,3750.0,10,16.331101562972226,0.7144025793917402
355,"MLP W1, D1",0,test,3750.0,10,20.267556087901443,0.6469883361884685
